Demand Cluster,Difficulty Cluster,Growth Cluster,ID,Lct Id,Lightcast Skill,Resilience Cluster,Skill Category,Skill Major Category,Skill MajorCategory Code,Skill MajorCategory Code (group),Skill Subcategory Name,Skill Super Category,Value Cluster,Xskill Category Name,Complexity,Complexity Norm,Demand,Demand Norm,Difficulty,Difficulty Norm,Education,Education Norm,Experience,Experience Norm,Growth,Growth Norm,Resilience,Resilience Norm,Stability,Stability Norm,Ubiquity,Ubiquity Norm,Value,Value Norm,SSG_Skill,SSG_ID
Low Demand,High Difficulty,Low Growth,1328,KS120TC63V6M3HDJYN7V,autonomous system,High Resilience,Engineering,Engineering and Construction,17,17 & 19,Electrical and Computer Engineering,"Science, Engineering, and Manufacturing",High Value,Engineering,3.191190951,0.611780166,278.5,0.000433898,0.508154241,0.508154241,1.947225,0.620892894,3.609236,0.291789663,0.801439285,0.064262826,0.322392909,0.322392909,48,0.592592593,25.5,0.052193226,"$66,000 ",0.283694628,['automatic identification system (ais)'],[nan]
High Demand,High Difficulty,Low Growth,1261,ES20CECA4FF83ECE8196,influencing skills,High Resilience,Physical and Inherent Abilities,Physical and Inherent Abilities,50,50,Initiative and Leadership,Abilities,High Value,Physical and Inherent Abilities,0.291111783,0.306030777,56392,0.089537491,0.495330265,0.495330265,1.681166,0.53476959,6.419522,0.645190428,0.927741123,0.076761795,0.608242335,0.608242335,72,0.888888889,149.5,0.32759578,"$96,000 ",0.472196041,['influence'],['22fefa8cf4bda9184634546e6faccee9830e5f852884afa6ac10cfe9ee146bc3']
High Demand,High Difficulty,Low Growth,1050,KS1218C6C8TX2Y1KRN37,business analysis,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Analysis,Business,High Value,Business,1.141663541,0.395702701,13979.75,0.022190349,0.50108967,0.50108967,1.848029,0.588783147,5.414316,0.518783163,0.896913928,0.073711102,0.3360136,0.3360136,44,0.543209877,60,0.128817324,"$84,000 ",0.396795476,['functional analysis'],['14cd5ef983ba192cfb2efd409fc2f339c28695b92e93b78dab4454a64755c249']
High Demand,High Difficulty,Low Growth,1082,KS1243B6K2MM7JTJHFM5,franchising,High Resilience,Business,"Business, Finance, and Marketing",13,13,Business Strategy,Business,High Value,Business,0.517471217,0.329895387,1683.25,0.002664525,0.464116598,0.464116598,1.440033,0.456714833,6.105804,0.605739575,0.966770153,0.080624151,0.403914835,0.403914835,55,0.679012346,60,0.128817324,"$66,000 ",0.283694628,['franchise management'],['ef877c7d9325229093ec0c2a7f07fb00f6632c0be5cbc97a71a0821c57e2c604']
High Demand,High Difficulty,Low Growth,1513,ESD949A6DFF2D99146FD,finacle (software),High Resilience,Finance,"Business, Finance, and Marketing",13,13,Accounting and Finance Software,Business,High Value,Finance,2.923237362,0.58353037,639.5,0.001007136,0.550933714,0.550933714,2.081784,0.664449645,4.508076,0.404821128,0.864309025,0.070484485,0.316727333,0.316727333,42,0.518518519,53.75,0.114936147,"$108,000 ",0.547596607,['infosys finacle'],[nan]
High Demand,High Difficulty,Low Growth,1749,KS0OX58VDQ5P1TCYANAN,unity engine,High Resilience,Design,Arts and Design,27,27,Animation and Game Design,Communications and Arts,High Value,Design,1.777772802,0.462766394,1735.5,0.002747494,0.459669324,0.459669324,2.005972,0.639909299,3.486317,0.27633228,0.942359091,0.078208405,0.370959892,0.370959892,52,0.641975309,47,0.099944475,"$60,000 ",0.245994345,['unity 3d'],[nan]
High Demand,High Difficulty,Low Growth,1168,ES7AC98A03E7159112B5,policy development,High Resilience,"Economics, Policy, and Social Studies",Social Sciences and Services,21,21 & 23,"Policy Analysis, Research, and Development","Education, Law, and Community",High Value,"Economics, Policy, and Social Studies",0.398131687,0.317313665,5226.75,0.00829131,0.495921563,0.495921563,1.8791,0.59884083,5.834403,0.571610194,0.892778462,0.073301852,0.380776112,0.380776112,45,0.555555556,94.75,0.205996669,"$79,800 ",0.370405278,['social sector policy influence'],['99b39e23ffe079217ec58aa508fa25d5aee7ba4c6a6e3144ac3d2218f337fd11']
High Demand,High Difficulty,Low Growth,1661,KSLT31GWV917Q2X140JN,qlikview (data analytics software),High Resilience,Data Management and Analytics,Information Technology,15,15,Business Intelligence Software,IT,High Value,Analysis,2.093126224,0.496013458,2698,0.004275864,0.525757497,0.525757497,1.905866,0.607504985,5.056239,0.47375405,0.765137423,0.060670354,0.32886051,0.32886051,45,0.555555556,48,0.102165464,"$78,000 ",0.359095193,['qlikview'],[nan]
High Demand,High Difficulty,Low Growth,1622,KSGWPO6DSN70GRY20JFT,pandas (python package),High Resilience,Data Management and Analytics,Information Technology,15,15,Data Science,IT,High Value,Analysis,2.826087621,0.573288072,1279.25,0.002023007,0.549466534,0.549466534,2.229579,0.71229089,4.174083,0.362820641,0.96009027,0.079963102,0.33183211,0.33183211,48,0.592592593,34,0.071071627,"$90,000 ",0.434495759,['pandas'],[nan]
High Demand,High Difficulty,Low Growth,1488,KS124KS624R3L2W8RKM6,apache hadoop,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Science,IT,High Value,Analysis,2.932009852,0.584455235,8173.25,0.012970108,0.588667862,0.588667862,2.038182,0.650335677,5.513157,0.531212675,0.733915377,0.057580586,0.3653423,0.3653423,51,0.62962963,47.5,0.101054969,"$99,000 ",0.491046183,"['hortonworks data platform', 'hadoop']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1534,KS7G4WG748ZG8243D3Z9,jmp (statistical software),High Resilience,Data Management and Analytics,Information Technology,15,15,Statistical Software,IT,High Value,Analysis,2.404557508,0.528847018,612.25,0.000963866,0.526486463,0.526486463,2.130178,0.680114784,4.235131,0.370497585,0.934387297,0.077419508,0.359642448,0.359642448,53,0.654320988,31.25,0.064963909,"$63,000 ",0.264844486,['jmp'],[nan]
High Demand,High Difficulty,Low Growth,1692,KS4409D76NW1S5LNCL18,sas (software),High Resilience,Data Management and Analytics,Information Technology,15,15,Statistical Software,IT,High Value,Analysis,1.026317046,0.383541957,5505.75,0.008734339,0.504638614,0.504638614,2.056176,0.656160335,5.059893,0.47421355,0.779771369,0.062118546,0.432917926,0.432917926,57,0.703703704,75,0.162132149,"$87,000 ",0.415645617,"['sas', 'sas programming']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1306,KSAS8LK1JG2Y0OLN4C53,apache spark,High Resilience,Data Management and Analytics,Information Technology,15,15,Data Science,IT,High Value,Analysis,2.033075093,0.48968239,8482.5,0.013461171,0.552341724,0.552341724,2.03124,0.648088551,5.418062,0.519254232,0.797703313,0.063893111,0.400713595,0.400713595,57,0.703703704,46,0.097723487,"$99,000 ",0.491046183,['apache superset'],[nan]
High Demand,High Difficulty,Low Growth,1409,KS122K364PHRMJK84H46,crystal reports (reporting software),High Resilience,Data Management and Analytics,Information Technology,15,15,Business Intelligence Software,IT,High Value,Analysis,3.705205738,0.66597169,862.5,0.001361242,0.501895334,0.501895334,1.679373,0.534189196,3.718462,0.305525116,0.897010657,0.073720674,0.379679328,0.379679328,58,0.716049383,21.5,0.043309273,"$66,000 ",0.283694628,['crystal reports'],[nan]
High Demand,High Difficulty,Low Growth,1729,KS441626TDSV2J6GBB86,tableau (business intelligence software),High Resilience,Data Management and Analytics,Information Technology,15,15,Business Intelligence Software,IT,High Value,Analysis,0.962169952,0.376779061,17414.25,0.027644051,0.471353568,0.471353568,1.957692,0.624281062,4.57312,0.41300058,0.870252988,0.071072706,0.451371323,0.451371323,59,0.728395062,80.5,0.174347585,"$78,000 ",0.359095193,['tableau'],[nan]
High Demand,High Difficulty,Low Growth,1781,KS441KD5ZN6L8Q5NBJ86,wireshark,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Networking Software,IT,High Value,Information Technology,3.395459931,0.633315825,840.75,0.001326705,0.571625377,0.571625377,1.833577,0.584105034,5.244714,0.49745527,0.897737171,0.073792571,0.317543066,0.317543066,46,0.567901235,32.25,0.067184897,"$84,000 ",0.396795476,['zeek (network analysis software)'],[nan]
High Demand,High Difficulty,Low Growth,1015,ES50E1CBF4827F546541,virtual reality,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Augmented and Virtual Reality (AR/VR),IT,High Value,Information Technology,1.57786068,0.44169007,1393.75,0.002204823,0.484624246,0.484624246,1.992224,0.635459071,4.284641,0.376723597,0.91681275,0.075680311,0.362583201,0.362583201,47,0.580246914,67.25,0.144919489,"$61,800 ",0.25730443,['virtual reality application'],['9f833f365f46240150b33599cb3eed357cf39c4fb0a91404fedf3dfff0c4426b']
High Demand,High Difficulty,Low Growth,1455,KS441CX6CZY2D4TXL570,threat modeling,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cybersecurity,IT,High Value,Information Technology,3.564907883,0.651180375,999.25,0.00157839,0.610767659,0.610767659,1.916868,0.611066333,5.822046,0.570056269,0.965207344,0.080469493,0.33640433,0.33640433,50,0.617283951,27,0.055524708,"$102,000 ",0.509896324,['flexera'],[nan]
High Demand,High Difficulty,Low Growth,1437,KSYJOKVM5EG5QPKHRACB,elastic (elk) stack,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cloud Solutions,IT,High Value,Information Technology,4.663244857,0.766975786,602,0.00094759,0.627023372,0.627023372,1.962663,0.625890175,5.171148,0.488204155,0.949278661,0.078893173,0.335636581,0.335636581,51,0.62962963,20.75,0.041643531,"$90,000 ",0.434495759,['elk stack'],[nan]
High Demand,High Difficulty,Low Growth,1142,KS686Y976L1WJ98QFSD4,authorization (computing),High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Identity and Access Management,IT,High Value,Information Technology,2.003542317,0.48656881,3049,0.004833223,0.484858151,0.484858151,1.416375,0.449056738,5.415634,0.518948904,0.978752538,0.081809941,0.395946011,0.395946011,52,0.641975309,69.5,0.149916713,"$84,000 ",0.396795476,['confidentiality management'],['f48d6d1fb3cd1ffd27a885c6facce43fce5a49e088d2c9e9fba94b963cd75875']
High Demand,High Difficulty,Low Growth,1608,KS1275J6Z37CB9HL67TC,oauth,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Identity and Access Management,IT,High Value,Information Technology,3.014160964,0.593116258,2103,0.003331053,0.598833676,0.598833676,1.970962,0.628576562,5.859834,0.574808208,0.852359074,0.069301905,0.37546699,0.37546699,53,0.654320988,45.5,0.096612993,"$84,600 ",0.400565504,['oauth 2.0'],[nan]
High Demand,High Difficulty,Low Growth,1309,KSEQFZJDNM1E6NMKFLH1,apigee,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cloud Solutions,IT,High Value,Information Technology,4.821522401,0.783662662,570.25,0.000897173,0.651713595,0.651713595,1.93549,0.617094274,5.697417,0.554383849,0.757260422,0.059890838,0.349370377,0.349370377,53,0.654320988,22,0.044419767,"$99,000 ",0.491046183,['apigee api'],[nan]
High Demand,High Difficulty,Low Growth,1394,KS1222262SZCF82BDQC3,control objectives for information and related technology (cobit),High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cybersecurity,IT,High Value,Information Technology,2.464044093,0.535118567,1118.25,0.001767352,0.582586652,0.582586652,1.868978,0.595564339,6.195961,0.617077052,0.952182092,0.0791805,0.374699241,0.374699241,54,0.666666667,39.25,0.082731816,"$90,000 ",0.434495759,['cobit'],[nan]
High Demand,High Difficulty,Low Growth,1632,KS1220K708KVK1KRHDHJ,cloud foundry,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cloud Solutions,IT,High Value,Information Technology,4.268775495,0.725387691,1109.25,0.001753061,0.65098314,0.65098314,1.903199,0.606641677,6.226521,0.620920051,0.751492414,0.059320029,0.353599852,0.353599852,54,0.666666667,20.25,0.040533037,"$105,000 ",0.528746466,['pivotal cloud foundry (pcf) platform'],[nan]
High Demand,High Difficulty,Low Growth,1478,ESC7869CF7378283E0AA,google cloud platform (gcp),High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Cloud Solutions,IT,High Value,Information Technology,3.52147936,0.646601795,4976.75,0.00789433,0.602736984,0.602736984,1.962983,0.625993759,5.548168,0.535615399,0.943200616,0.078291683,0.418741988,0.418741988,61,0.75308642,40,0.084397557,"$93,600 ",0.457115928,"['google cloud deployment manager', 'google cloud platform']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1760,KS441WM78N27KGKKF73T,vmware vsphere,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Virtualization and Virtual Machines,IT,High Value,Information Technology,4.120151468,0.709718566,1401.25,0.002216732,0.583599899,0.583599899,1.791671,0.570540061,5.030689,0.470541071,0.903003738,0.074313756,0.407979792,0.407979792,62,0.765432099,24.75,0.050527485,"$81,000 ",0.377945335,['vsphere'],[nan]
High Demand,High Difficulty,Low Growth,1529,KS125HY6QTMR765BRQD0,wildfly (jboss as),High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Servers,IT,High Value,Information Technology,3.274468235,0.620559919,3371.75,0.005345723,0.595515453,0.595515453,1.911617,0.609366584,5.715198,0.556619856,0.837903481,0.067871363,0.434076405,0.434076405,62,0.765432099,48.25,0.102720711,"$87,000 ",0.415645617,"['jboss', 'wildfly']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1321,KS120YR5YL8LVNYR4249,oracle weblogic server,High Resilience,"Cloud, Networking, and Security",Information Technology,15,15,Servers,IT,High Value,Information Technology,3.267465213,0.619821605,3310,0.005247669,0.599202463,0.599202463,1.93351,0.616453348,5.752673,0.561332434,0.822812446,0.066377938,0.457102022,0.457102022,66,0.814814815,46.75,0.099389228,"$85,800 ",0.408105561,"['oracle weblogic', 'atg web commerce']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1541,KSFHF2FU8HN39495VYLU,keras (neural network library),High Resilience,Data Management and Analytics,Information Technology,15,15,Artificial Intelligence and Machine Learning (AI/ML),IT,High Value,Information Technology,2.737405332,0.563938481,1066,0.001684383,0.55321875,0.55321875,2.418802,0.773542379,3.850867,0.322175389,0.897574474,0.07377647,0.296460814,0.296460814,42,0.518518519,35.5,0.074403109,"$81,000 ",0.377945335,['keras'],[nan]
High Demand,High Difficulty,Low Growth,1471,KS120276G5JJHNZHDWL7,geographic information systems,High Resilience,Data Management and Analytics,Information Technology,15,15,Geospatial Information and Technology,IT,High Value,Information Technology,1.644637597,0.448730223,2550.75,0.004042043,0.468869516,0.468869516,1.653701,0.525879169,4.724199,0.431999157,0.911612502,0.075165689,0.361277342,0.361277342,44,0.543209877,82.75,0.179344808,"$72,000 ",0.32139491,['geographic information system (gis)'],[nan]
High Demand,High Difficulty,Low Growth,1694,KSJ2QBJ158RE1QN9D3AZ,scikit-learn (python package),High Resilience,Data Management and Analytics,Information Technology,15,15,Artificial Intelligence and Machine Learning (AI/ML),IT,High Value,Information Technology,2.446488267,0.533267692,1370.5,0.002167904,0.536926441,0.536926441,2.334858,0.746369704,3.92217,0.331141927,0.968048411,0.080750648,0.32337316,0.32337316,46,0.567901235,37.5,0.078845086,"$90,000 ",0.434495759,['scikit-learn'],[nan]
High Demand,High Difficulty,Low Growth,1735,KS4419Z70Q998JFCGBQ0,teradata sql,High Resilience,Data Management and Analytics,Information Technology,15,15,Databases,IT,High Value,Information Technology,3.160007031,0.60849251,1608.75,0.002546225,0.615401597,0.615401597,2.030482,0.647843187,5.9796,0.589869094,0.785146605,0.062650485,0.338902941,0.338902941,50,0.617283951,29.25,0.060521932,"$96,000 ",0.472196041,['teradata'],[nan]
High Demand,High Difficulty,Low Growth,1613,KS127F36326KXDQ104H6,oracle databases,High Resilience,Data Management and Analytics,Information Technology,15,15,Databases,IT,High Value,Information Technology,3.814071511,0.677449184,3285.25,0.005208368,0.587221687,0.587221687,1.861686,0.593203918,5.193476,0.491011959,0.871734974,0.071219365,0.35124862,0.35124862,52,0.641975309,29.25,0.060521932,"$84,000 ",0.396795476,"['oracle systems', 'oracle database', 'oracle 10g, 11g, 12c']","[nan, nan, nan]"
High Demand,High Difficulty,Low Growth,1730,KS4416J73PZ5F1W58BRZ,talend,High Resilience,Data Management and Analytics,Information Technology,15,15,Databases,IT,High Value,Information Technology,4.172469884,0.715234389,929,0.001466839,0.609719438,0.609719438,1.953013,0.62276647,5.194633,0.491157455,0.828852928,0.066975711,0.351591366,0.351591366,53,0.654320988,24,0.048861743,"$90,000 ",0.434495759,['talend open studio'],[nan]
High Demand,High Difficulty,Low Growth,1714,KS440W865GC4VRBW6LJP,sql (programming language),High Resilience,Data Management and Analytics,Information Technology,15,15,Query Languages,IT,High Value,Information Technology,2.158754857,0.50293255,56722.5,0.090062298,0.508159143,0.508159143,1.939006,0.618232404,4.496079,0.403312474,0.892703624,0.073294446,0.446161597,0.446161597,60,0.740740741,70.25,0.151582454,"$81,000 ",0.377945335,['sql'],[nan]
High Demand,High Difficulty,Low Growth,1726,ES175072C2EBB67D511D,sybase (software),High Resilience,Data Management and Analytics,Information Technology,15,15,Databases,IT,High Value,Information Technology,2.766998912,0.567058471,1763,0.002791161,0.539045664,0.539045664,1.876113,0.597873938,4.884875,0.452204581,0.8327227,0.067358667,0.41895449,0.41895449,60,0.740740741,45.75,0.09716824,"$96,000 ",0.472196041,['sybase'],[nan]
High Demand,High Difficulty,Low Growth,1580,KS126JR6F5V2TRCLB1H5,microsoft sql servers,High Resilience,Data Management and Analytics,Information Technology,15,15,Databases,IT,High Value,Information Technology,3.62740523,0.657769342,14258.5,0.022632981,0.545134336,0.545134336,1.865738,0.594515551,4.335491,0.383118116,0.944424751,0.078412825,0.425747698,0.425747698,62,0.765432099,40.75,0.086063298,"$72,000 ",0.32139491,['microsoft sql'],[nan]
High Demand,High Difficulty,Low Growth,1319,KS127KQ6LD33VJ6MC8F9,parsing,High Resilience,"Information Technology, Other",Information Technology,15,15,Computer Science,IT,High Value,Information Technology,3.120215639,0.604297385,1079.25,0.001705423,0.650640793,0.650640793,1.95119,0.622176365,7.057745,0.725448629,0.942399721,0.078212426,0.355625476,0.355625476,51,0.62962963,38.75,0.081621321,"$78,000 ",0.359095193,['ast (abstract syntax tree)'],[nan]
High Demand,High Difficulty,Low Growth,1388,KS1216M6NP45YLTBVLDB,voice over ip,High Resilience,"Information Technology, Other",Information Technology,15,15,Telecommunications,IT,High Value,Information Technology,2.892562735,0.580296407,1018.75,0.001609354,0.509104497,0.509104497,1.616004,0.51367665,4.734865,0.433340434,0.9961447,0.083531088,0.370877633,0.370877633,55,0.679012346,30.25,0.062742921,"$72,000 ",0.32139491,['cisco voice gateway'],[nan]
High Demand,High Difficulty,Low Growth,1311,KS7G0C36YW29VS8KPC05,scripting,High Resilience,Software Development and Programming,Information Technology,15,15,Scripting,IT,High Value,Information Technology,1.943515428,0.480240299,39045.25,0.061992288,0.496123843,0.496123843,1.804098,0.574562681,4.736679,0.433568549,0.784529092,0.062589375,0.317676737,0.317676737,31,0.382716049,115.75,0.252637424,"$81,000 ",0.377945335,['applescript'],[nan]
High Demand,High Difficulty,Low Growth,1426,KS1232D6PH6SBVWWPQWC,django (web framework),High Resilience,Software Development and Programming,Information Technology,15,15,Web Design and Development,IT,High Value,Information Technology,3.165584304,0.60908051,1824.5,0.002888818,0.513929191,0.513929191,1.988591,0.634283069,3.661993,0.298423993,0.852281859,0.069294263,0.302568532,0.302568532,42,0.518518519,41,0.086618545,"$78,000 ",0.359095193,['django'],[nan]
High Demand,High Difficulty,Low Growth,1363,KS1200364C9C1LK3V5Q1,c (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,C and C++,IT,High Value,Information Technology,1.581997089,0.442126163,13989.75,0.022206228,0.4919254,0.4919254,2.048493,0.653673348,4.31051,0.37997669,0.935106072,0.077490638,0.376481516,0.376481516,43,0.530864198,102,0.222098834,"$73,800 ",0.332704995,['c'],[nan]
High Demand,High Difficulty,Low Growth,1724,KSR5V7LNG1DL3C5O790P,swift (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,Other Programming Languages,IT,High Value,Information Technology,2.23862443,0.511353035,4036.5,0.006401291,0.54898437,0.54898437,1.964921,0.62662109,5.336352,0.508978987,0.787435339,0.062876981,0.312628101,0.312628101,43,0.530864198,44.5,0.094392004,"$90,000 ",0.434495759,['swift programming'],[nan]
High Demand,High Difficulty,Low Growth,1693,KS440B06L35CZZ8SMZJN,scala (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,Other Programming Languages,IT,High Value,Information Technology,3.382668127,0.631967212,4298.25,0.006816929,0.595574296,0.595574296,2.053018,0.65513809,5.261909,0.499617586,0.772573122,0.061406199,0.311370226,0.311370226,45,0.555555556,32.25,0.067184897,"$102,000 ",0.509896324,"['sbt (java build tool)', 'scala']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1432,KS1278Q67BBKDK94PRR0,object-oriented analysis and design,High Resilience,Software Development and Programming,Information Technology,15,15,Software Development,IT,High Value,Information Technology,3.266742261,0.619745386,1186.75,0.001876124,0.583686227,0.583686227,1.969887,0.628228584,5.28948,0.503084711,0.795289447,0.063654232,0.323928407,0.323928407,46,0.567901235,38,0.07995558,"$84,600 ",0.400565504,['eiffel'],[nan]
High Demand,High Difficulty,Low Growth,1751,KS126JW72Q0ST3JKR5K0,visual basic .net (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,Other Programming Languages,IT,High Value,Information Technology,2.659645694,0.555740442,1845.75,0.002922562,0.477928553,0.477928553,1.864807,0.594214186,3.545948,0.283831033,0.886257814,0.072656561,0.321494917,0.321494917,47,0.580246914,30.25,0.062742921,"$60,000 ",0.245994345,"['vb.net', 'visual basic (vb)']","[nan, nan]"
High Demand,High Difficulty,Low Growth,1530,KSZC8I4KQ1VB0V5EZJHQ,artifactory,High Resilience,Software Development and Programming,Information Technology,15,15,Software Development Tools,IT,High Value,Information Technology,3.28920355,0.622113433,1410,0.002230627,0.621877338,0.621877338,1.949896,0.621757497,6.233209,0.621761085,0.939982711,0.077973236,0.333155106,0.333155106,47,0.580246914,40.75,0.086063298,"$81,000 ",0.377945335,['jfrog artifactory'],[nan]
High Demand,High Difficulty,Low Growth,1606,KS1201366HBDSM2WN9JK,multitier architecture,High Resilience,Software Development and Programming,Information Technology,15,15,Software Development,IT,High Value,Information Technology,4.328540414,0.731688584,1142,0.001805065,0.607288826,0.607288826,1.896195,0.604374482,5.152057,0.485803412,0.97853999,0.081788907,0.320727168,0.320727168,48,0.592592593,24,0.048861743,"$84,000 ",0.396795476,['n-tier architecture'],[nan]
High Demand,High Difficulty,Low Growth,1672,KSL37L34MKPYFKMDGSQZ,web frameworks,High Resilience,Software Development and Programming,Information Technology,15,15,Web Design and Development,IT,High Value,Information Technology,4.862728082,0.788006893,573.75,0.000902731,0.584707197,0.584707197,1.948897,0.621434121,4.029831,0.344680577,0.92723413,0.076711622,0.310177473,0.310177473,48,0.592592593,14.5,0.027762354,"$84,000 ",0.396795476,['revel (web framework)'],[nan]
High Demand,High Difficulty,Low Growth,1395,KS1222362L28K2KK3J7Y,cobol (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,Scripting Languages,IT,High Value,Information Technology,3.636436214,0.65872146,1123,0.001774894,0.627088148,0.627088148,1.824933,0.581306971,6.388076,0.641236012,0.994946103,0.083412474,0.320449544,0.320449544,48,0.592592593,23.75,0.048306496,"$90,000 ",0.434495759,['cobol'],[nan]
High Demand,High Difficulty,Low Growth,1772,KS120KT71H7QN93P89J9,apple xcode,High Resilience,Software Development and Programming,Information Technology,15,15,Integrated Development Environments (IDEs),IT,High Value,Information Technology,3.890086403,0.685463278,693.75,0.001093281,0.579230994,0.579230994,1.97306,0.629255684,4.65243,0.422974019,0.637756676,0.048064616,0.322458031,0.322458031,49,0.604938272,20,0.03997779,"$82,800 ",0.389255419,['xcode'],[nan]
High Demand,High Difficulty,Low Growth,1609,KS1275N74XZ574T7N47D,objective-c (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,C and C++,IT,High Value,Information Technology,3.356644669,0.629223612,1762.5,0.002790368,0.554216511,0.554216511,1.982318,0.632252499,4.479069,0.401173423,0.700437638,0.054267593,0.330296612,0.330296612,50,0.617283951,21.5,0.043309273,"$85,800 ",0.408105561,['objective c'],[nan]
High Demand,High Difficulty,Low Growth,1546,KS441ZY75ZBD54BWPKN4,web application frameworks,High Resilience,Software Development and Programming,Information Technology,15,15,Web Design and Development,IT,High Value,Information Technology,5.093403771,0.812326557,651,0.001025398,0.622228545,0.622228545,1.966725,0.627205045,4.68567,0.427154035,0.778811376,0.062023544,0.328418368,0.328418368,51,0.62962963,14.25,0.027207107,"$84,000 ",0.396795476,['koa'],[nan]
High Demand,High Difficulty,Low Growth,1343,KSUK6OFU4EA534NO9T4D,ecmascript 2015,High Resilience,Software Development and Programming,Information Technology,15,15,JavaScript and jQuery,IT,High Value,Information Technology,3.864638275,0.682780334,1211.25,0.001915028,0.572278889,0.572278889,1.952705,0.62266677,4.560309,0.411389564,0.715792659,0.055787142,0.328973615,0.328973615,51,0.62962963,14.75,0.028317601,"$90,000 ",0.434495759,['babel'],[nan]
High Demand,High Difficulty,Low Growth,1365,KS1219W70LY1GXZDSKW5,c++ (programming language),High Resilience,Software Development and Programming,Information Technology,15,15,C and C++,IT,High Value,Information Technology,1.63263594,0.447464913,24642.25,0.039121517,0.484638569,0.484638569,2.095736,0.668965908,3.97261,0.337484888,0.948811153,0.078846908,0.429538459,0.429538459,52,0.641975309,99.75,0.21710161,"$75,000 ",0.340245052,['c++'],[nan]
High Demand,High Difficulty,Low Growth,1454,ES46B2FBE34B5D3E45D5,flask (web framework),High Resilience,Software Development and Programming,Information Technology,15,15,Web Design and Development,IT,High Value,Information Technology,3.684707108,0.663810561,1034.5,0.001634364,0.540406557,0.540406557,1.990726,0.634974169,3.852931,0.322434943,0.999585535,0.083871597,0.343752785,0.343752785,52,0.641975309,22.5,0.045530261,"$81,000 ",0.377945335,['flask (python)'],[nan]
High Demand,High Difficulty,Low Growth,1761,KSGDZ4VMK1WCGQCE1KUT,vue.js (javascript library),High Resilience,Software Development and Programming,Information Technology,15,15,JavaScript and jQuery,IT,High Value,Information Technology,3.654939283,0.6606722,3814,0.00604798,0.545527745,0.545527745,1.939743,0.618470971,4.131296,0.357440064,0.873050635,0.071349564,0.344928401,0.344928401,53,0.654320988,18,0.035535813,"$81,000 ",0.377945335,['vue.js'],[nan]
High Demand,High Difficulty,Low Growth,1667,KS128G66HPYR0ZXM02K2,red hat enterprise linux,High Resilience,Software Development and Programming,Information Technology,15,15,Software Development Tools,IT,High Value,Information Technology,3.767225298,0.672510284,1950.75,0.003089293,0.591301011,0.591301011,1.830912,0.583242374,5.409284,0.518150375,0.977046239,0.081641083,0.358531954,0.358531954,53,0.654320988,30.25,0.062742921,"$84,000 ",0.396795476,['red hat enterprise linux (rhel)'],[nan]
High Demand,High Difficulty,Low Growth,1668,KSQOOX1S2DYD0E1VVZ5X,react redux,High Resilience,Software Development and Programming,Information Technology,15,15,JavaScript and jQuery,IT,High Value,Information Technology,3.666361055,0.661876374,2204,0.003491433,0.563273531,0.563273531,1.951689,0.622337891,4.51432,0.405606327,0.754863461,0.059653632,0.352489358,0.352489358,54,0.666666667,19.25,0.038312049,"$90,000 ",0.434495759,['redux'],[nan]
High Demand,High Difficulty,Low Growth,1502,KS120RM619V18NJXTHV1,html5,High Resilience,Software Development and Programming,Information Technology,15,15,Web Design and Development,IT,High Value,Information Technology,2.941528065,0.585458721,8772.25,0.01392127,0.522691017,0.522691017,1.914736,0.610376204,4.248972,0.372238127,0.755297554,0.05969659,0.372543374,0.372543374,55,0.679012346,31.75,0.066074403,"$72,000 ",0.32139491,['html4/html5'],[nan]
